,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,Cyclically
Robert J. Shiller ,,,,,,,,,,Adjusted
,,,,,,,,,,Price
,,,,  Consumer,,,,,,Earnings
,S&P,,,Price,,Long,,,,Ratio
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Real,P/E10 or
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,102.41,7.40,7.90,NA
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,101.17,7.40,7.73,NA
1876.08,3.93,0.30,0.31,10.18,1876.63,4.51,96.07,7.33,7.50,NA
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,89.37,7.27,7.27,NA
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,87.27,7.13,6.97,NA
1876.11,3.60,0.30,0.29,10.56,1876.88,4.47,84.83,7.07,6.76,NA
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,82.87,6.94,6.48,NA
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,80.75,6.61,6.41,NA
1877.02,3.34,0.28,0.28,10.66,1877.13,4.44,78.00,6.58,6.62,NA
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,77.49,6.66,6.97,NA
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,69.91,6.26,6.82,NA
1877.05,2.94,0.25,0.29,10.66,1877.38,4.41,68.66,5.94,6.73,NA
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,67.37,6.05,7.16,NA
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,69.67,5.76,7.13,NA
1877.08,3.05,0.23,0.29,9.80,1877.63,4.39,77.46,5.76,7.45,NA
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,83.09,5.58,7.57,NA
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,84.88,5.34,7.61,NA
1877.11,3.26,0.20,0.30,9.51,1877.88,4.36,85.27,5.21,7.80,NA
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,85.01,4.97,7.85,NA
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,87.64,5.10,8.11,NA
1878.02,3.18,0.19,0.30,9.13,1878.13,4.33,86.65,5.13,8.22,NA
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,90.16,5.22,8.42,NA
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,93.66,5.25,8.53,NA
1878.05,3.34,0.19,0.30,8.56,1878.38,4.30,97.07,5.40,8.84,NA
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,101.36,5.50,9.07,NA
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,102.28,5.41,8.99,NA
1878.08,3.45,0.18,0.31,8.56,1878.63,4.27,100.27,5.33,8.91,NA
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,102.30,5.30,8.94,NA
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,102.28,5.34,9.06,NA
1878.11,3.47,0.18,0.31,8.37,1878.88,4.24,103.14,5.37,9.19,NA
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,104.93,5.47,9.43,NA
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,107.64,5.46,9.49,NA
1879.02,3.71,0.18,0.32,8.37,1879.13,4.20,110.28,5.45,9.56,NA
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,109.74,5.56,9.85,NA
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,114.67,5.68,10.14,NA
1879.05,3.94,0.19,0.34,8.18,1879.38,4.15,119.84,5.73,10.32,NA
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,121.86,5.85,10.62,NA
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,122.88,5.83,10.67,NA
1879.08,4.07,0.19,0.36,8.18,1879.63,4.10,123.79,5.88,10.85,NA
1879.09,4.22,0.20,0.36,8.47,1879.71,4.09,124.03,5.73,10.65,NA
1879.1,4.68,0.20,0.37,8.94,1879.79,4.07,130.23,5.47,10.25,NA
1879.11,4.93,0.20,0.37,9.42,1879.88,4.05,130.26,5.24,9.89,NA
1879.12,4.92,0.20,0.38,9.70,1879.96,4.04,126.17,5.13,9.74,NA
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,127.30,5.11,9.70,NA
1880.02,5.20,0.21,0.40,9.99,1880.13,3.99,129.54,5.23,9.92,NA
1880.03,5.30,0.22,0.41,10.09,1880.21,3.97,130.79,5.31,10.06,NA
1880.04,5.18,0.22,0.42,9.70,1880.29,3.94,132.84,5.64,10.69,NA
1880.05,4.77,0.23,0.43,9.42,1880.38,3.91,126.03,5.94,11.25,NA
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,129.17,6.20,11.73,NA
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,135.10,6.34,11.98,NA
1880.08,5.19,0.24,0.45,9.23,1880.63,3.83,139.96,6.47,12.22,NA
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,138.26,6.54,12.34,NA
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,142.26,6.67,12.59,NA
1880.11,5.61,0.26,0.48,9.42,1880.88,3.75,148.22,6.74,12.70,NA
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,152.76,6.80,12.82,NA
1881.01,6.19,0.27,0.49,9.42,1881.04,3.70,163.55,7.00,12.84,18.47
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,161.39,7.06,12.60,18.15
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,163.22,7.19,12.49,18.27
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,161.09,7.25,12.26,17.95
1881.05,6.50,0.29,0.47,9.51,1881.37,3.67,170.02,7.45,12.27,18.87
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,172.11,7.59,12.16,19.03
1881.07,6.35,0.30,0.46,9.61,1881.54,3.66,164.45,7.64,11.93,18.12
1881.08,6.20,0.30,0.46,9.80,1881.62,3.65,157.45,7.62,11.60,17.29
